번호,캐릭터,스킬명,사용 가능 임무,스킬 효과
1,프레드릭,"오버차지 필드
(Overcharge Field)",전투,체력이 1 이상 남은 에너미 전원을 「기절」시킨다. (*기절: 1D3+1턴 동안 아무런 행동도 하지 않고 턴을 넘긴다.)
2,엔야,"플레임 스트라이크
(Flame Strike)",전투,"에너미 1체에게 1D6+3 대미지를 가하고, 「화상」 효과를 적용한다. (*화상: 1D3턴 동안 대상자의 턴에 추가 대미지를 1씩 받는다.)"
3,롤란드,"어둠의 장막
(Veil of Darkness)",탐색,대상자 1명은 2회의 탐색에 반드시 성공한다.
4,마르,"폭풍의 도약
(Storm Leap)",탐색,대상자 1명은 해당 탐색 임무 동안 판정 결과값에 +2의 보정치를 고정 적용한다.
5,레디어스,"절대영도
(Absolute Zero)",전투,대상자 1명에게 「방벽」 효과를 적용한다. (*방벽: 대상자에게 대미지 발생 시 2회 동안 대미지 값을 0으로 경감한다.)
6,클로다,"정화의 파도
(Tide of Purification)",보강,"대상자 1명의 체력 혹은 기력 중 원하는 것을 1D10+2 회복한다. 단, 해당 캐릭터의 최대 체력/최대 기력 이상으로 회복되지는 않는다."
7,벤,"메테오 대시
(Meteor Dash)",탐색,랜덤한 5개 스팟의 목표치를 1 하락시킨다. 남은 스팟이 5개 미만일 시 ‘남은 모든 스팟’의 목표치를 1 하락시키는 것으로 한다.
8,아니카,"루트 리페어
(Root Repair)",보강,요새 체력을 즉시 1D6+2 회복한다.
9,덱스터,"페이트 오브 스틸
(Fate of Steel)",전투,"에너미 1체에게 1D4+2 대미지를 가하고, 목표치 8의〔행운 판정〕을 추가로 진행하여 성공 시 1D6+2 대미지를 추가로 가한다."
10,브륀디스,"맹독의 정수
(Essence of Poison)",보강,대상자 2명에게 「각성」 효과를 적용한다. (*각성: 대상자는 직후 1회의 임무 동안 원하는 스탯이 1 상승한다.)
